,_c0,Borough,startStationName,latitude,longitude,prediction,concat
255,976,Queens,11 St & 43 Ave,40.7519071,-73.947911,999,Queens999
256,977,Bronx,E 165 St & Fox St,40.82394,-73.894025,999,Bronx999
257,979,Bronx,E 138 St & Grand Concourse,40.813224,-73.930605,999,Bronx999
258,984,Bronx,West Farms Rd & Boone Ave,40.830025,-73.886312,999,Bronx999
259,985,Bronx,St Ann's Ave & Westchester Ave,40.815887,-73.911918,999,Bronx999
260,986,Bronx,E 138 St & Cypress Ave,40.805559,-73.914718,999,Bronx999
261,996,Bronx,E 169 St & Fox St,40.827184,-73.893721,999,Bronx999
262,997,Bronx,Lincoln Ave & E 134 St,40.808484,-73.928803,999,Bronx999
263,1005,Bronx,E 163 St & Tiffany St,40.821075,-73.895069,999,Bronx999
264,1019,Bronx,Brook Ave & E 138 St,40.807408,-73.91924,999,Bronx999
265,1020,Queens,Onderdonk Ave & Gates Ave,40.70413,-73.90737,999,Queens999
266,1021,Bronx,Sedgwick Ave & W Burnside Ave,40.854947,-73.916661,999,Bronx999
267,1022,Queens,28 St & 40 Ave,40.7525758,-73.9364281,999,Queens999
268,1028,Queens,Wards Meadow Comfort Station,40.78294,-73.93077,999,Queens999
269,1030,Queens,28 Ave & 44 St,40.764089,-73.910651,999,Queens999
270,1031,Bronx,Sheridan Ave & E 172 St,40.840494,-73.911479,999,Bronx999
271,1034,Bronx,Westchester Ave & Jackson Ave,40.816124,-73.908116,999,Bronx999
272,1051,Bronx,Anderson Ave & W 164 St,40.832057,-73.927421,999,Bronx999
273,1052,Bronx,E 170 St & Clay Ave,40.837213,-73.908345,999,Bronx999
274,1055,Queens,Cypress Ave & George St,40.69812,-73.90271,999,Queens999
275,1056,Bronx,Grand Ave & W 181 St,40.856302,-73.907302,999,Bronx999
276,1058,Bronx,Webster Ave & Ford St,40.85556,-73.89615,999,Bronx999
277,1063,Queens,37 St & 24 Ave,40.770148,-73.912093,999,Queens999
278,1065,Queens,Onderdonk Ave & Dekalb Ave,40.70863,-73.91497,999,Queens999
279,1067,Bronx,Morris Ave & E 184 St,40.86008,-73.90079,999,Bronx999
280,1070,Bronx,Walnut Ave & E 136 St,40.801657,-73.909513,999,Bronx999
281,1080,Queens,46 St & 25 Ave,40.765753,-73.90676,999,Queens999
282,1081,Bronx,Tiebout Ave & E Fordham Road,40.861915,-73.894831,999,Bronx999
283,1084,Queens,Astoria Park S & Shore Blvd,40.7767,-73.927631,999,Queens999
284,1085,Bronx,Willow Ave & E 133 St,40.800933,-73.913863,999,Bronx999
285,1089,Bronx,Ogden Ave & W 164 St,40.832812,-73.929372,999,Bronx999
286,1100,Queens,Vernon Blvd & 41 Rd,40.7552433,-73.948567,999,Queens999
